CAS,Name,MW,VP (mm Hg),log VP,Estimate VP (mm Hg),log VP est,Error,VP temp (degC),VP type,Reference
26952-21-6,ISOOCTYL ALCOHOL,130.23,0.344,-0.46344155742847,0.151,-0.821023052706831,-0.357581495278361,25,EXT,CRC HANDBOOK CHEM (2006)
26952-23-8,DICHLOROPROPENE,443.89,24.0,1.3802112417116,130.0,2.1139433523068,0.7337321105952,25,EXP,"WEINJNEN,PHC ET AL. (1989)"
27138-19-8,ETHYLNAPHTHALENE,468.69,0.0522,-1.2823294969977,0.0172,-1.7644715530925,-0.4821420560948,25,EXT,"PERRY,RH & GREEN,D (1984)"
27138-31-4,"DIPROPYLENE GLYCOL, DIBENZOATE",342.4,4.6e-07,-6.3372421683184,5.22e-06,-5.2823294969977,1.0549126713207,25,EXP,"BUTZ,RG ET AL. (1982A)"
27154-44-5,HEXACHLOROCYCLOHEXANE,872.5,4.65e-05,-4.33254704711,0.00617,-2.2097148359668,2.1228322111432,20,EXP,"PAASIVIRTA,J (1993)"
27177-44-2,"Propane, dichloro-2-methyl-",127.01,40.0,1.602059991328,28.9,1.4608978427565,-0.1411621485715,28,EXP,"JORDAN,TE (1954)"
27196-00-5,TETRADECANOL,214.39,1.03e-05,-4.9871627752948,0.000208,-3.6819366650372,1.3052261102576,25,EXP,"LITTLEWOOD,R (1957)"
27215-95-8,NONENE,504.98,3.75,0.574031267727719,5.24,0.719331286983727,0.145300019256008,25,EXP,"WEBER,RC ET AL. (1981)"
27314-13-2,NORFLURAZON,303.67,2.89e-08,-7.5391021572435,3.73e-07,-6.4282911681913,1.1108109890522,25,EXP,"TOMLIN,C (1997)"
27355-22-2,TETRACHLOROPHTHALIDE,271.92,2.25e-08,-7.6478174818886,9.02e-07,-6.0447934624581,1.6030240194305,23,EXP,"TOMLIN,C (1997)"
27519-02-4,"9-Tricosene, (Z)-",322.62,3.53e-05,-4.4522252946122,6.34e-05,-4.1979107421183,0.254314552493899,27,EXP,"TOMLIN,C (1997)"
27554-26-3,DIISOOCTYL PHTHALATE,390.57,5.5e-06,-5.2596373105058,0.0602,-1.2204035087422,4.0392338017636,25,EXP,"HOWARD,PH ET AL. (1985)"
27858-07-7,"1,1'-Biphenyl, Octabromo-",785.38,7e-11,-10.154901959986,3.34e-11,-10.476253533188,-0.321351573202,28,EXP,"WARITZ,RS ET AL. (1977)"
28016-01-5,TETRAFLUOROBENZENE,450.23,59.604,1.7752754060428,47.8,1.6794278966121,-0.0958475094307001,25,EXP,"AMBROSE,D ET AL. (1975D)"
28106-30-1,ETHYLSTYRENE,396.62,0.869,-0.0609802235513335,0.529,-0.276544327964814,-0.21556410441348,25,EXT,"PERRY,RH & GREEN,D (1984)"
28249-77-6,THIOBENCARB,257.78,2.2e-05,-4.6575773191778,6.2e-05,-4.2076083105017,0.449969008676099,25,EXP,"WAUCHOPE,RD ET AL. (1991A)"
28419-69-4,"2,6-Dichlorodiphenyl ether",239.1,0.0013,-2.8860566476932,0.000169,-3.7721132953863,-0.8860566476931,25,EXT,"KURZ,J & BALLSCHMITER,K (1999)"
28434-01-7,BIORESMETHRIN,338.45,0.00014,-3.8538719643218,5.31e-06,-5.2749054789185,-1.4210335145967,25,EXP,"TOMLIN,C (1997)"
28523-86-6,Sevoflurane,200.06,193.0,2.2855573090078,222.0,2.3463529744506,0.0607956654428001,25,EXP,"MURATA,J ET AL. (2002)"
28553-12-0,DIISONONYL PHTHALATE,418.62,5.4e-07,-6.267606240177,2.3e-07,-6.6382721639824,-0.3706659238054,25,EXP,"HOWARD,PH ET AL. (1985)"
28631-35-8,DICHLORPROP-ISOOCTYL,347.29,3.38e-06,-5.4710832997223,3.2e-05,-4.4948500216801,0.9762332780422,20,EXP,"TOMLIN,C (1997)"
28906-38-9,BROMOCHLOROBENZENE,574.37,0.6278,-0.202178688635976,0.295,-0.530177984021837,-0.327999295385861,25,EXT,"PERRY,RH & GREEN,D (1984)"
29091-05-2,DINITRAMINE,322.25,3.6e-06,-5.4436974992327,1.49e-06,-5.8268137315877,-0.383116232355,25,EXP,"TOMLIN,C (2003)"
29091-21-2,PRODIAMINE,350.3,2.48e-08,-7.6055483191738,2.14e-07,-6.6695862266508,0.935962092523,25,EXP,"TOMLIN,C (1997)"
29104-30-1,BENZOXIMATE,363.8,3.38e-06,-5.4710832997223,4.08e-07,-6.3893398369101,-0.9182565371878,25,EXP,"TOMLIN,C (1997)"
29232-93-7,PIRIMIPHOS-METHYL,305.34,1.5e-05,-4.8239087409443,3.76e-05,-4.4248121550723,0.399096585872,20,EXP,"TOMLIN,C (1997)"
29253-36-9,ISOPROPYLNAPHTHALENE,340.51,0.03702,-1.4315635855831,0.0103,-1.9871627752948,-0.5555991897117,25,EXT,"PERRY,RH & GREEN,D (1984)"
29316-05-0,S-AMYLBENZENE,148.25,0.6164,-0.210137369953618,0.361,-0.442492798094342,-0.232355428140724,25,EXT,"CHAO,J ET AL. (1983)"
29446-15-9,"2,3-DICHLORODIBENZO-P-DIOXIN",253.09,2.925e-06,-5.5338741295818,7.93e-06,-5.1007268126824,0.4331473168994,25,EXP,"SHIU,WY ET AL. (1988)"
29973-13-5,ETHIOFENCARB,225.31,7.05e-06,-5.1518108830086,0.000447,-3.3496924768681,1.8021184061405,25,EXP,"TOMLIN,C (1997)"
30560-19-1,ACEPHATE,183.17,1.7e-06,-5.7695510786217,5.5e-05,-4.2596373105058,1.5099137681159,25,EXP,"WAUCHOPE,RD ET AL. (1991A)"
