CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
1861-44-5,TRITAC,73.0,25.0,EXP,"SHIU,WY ET AL. (1990)",0.0001,25.0,EXP,"BAILEY,GW & WHITE,JL (1965)",4.86e-07,25.0,EST,VP/WSOL
1888-71-7,PERCHLOROPROPYLENE,17.0,25.0,EXP,"OKOUCHI,S ET AL. (1992)",0.244,25.0,EXT,"DYKYJ,J (1970)",0.0047,25.0,EST,VP/WSOL
1897-45-6,CHLOROTHALONIL,0.81,25.0,EXP,"TOMLIN,C (2003)",5.7e-07,25.0,EXP,"TOMLIN,C (2003)",2e-06,25.0,EXP,"KAWAMOTO,K & URANO,K (1989)"
1912-24-9,ATRAZINE,34.7,26.0,EXP,"WARD,TM & WEBER,JB (1968)",2.89e-07,25.0,EXP,"TOMLIN,C (1997)",2.36e-09,25.0,EST,VP/WSOL
1918-00-9,DICAMBA,8310.0,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,3.38e-05,25.0,EXP,"TOMLIN,C (1994)",2.18e-09,25.0,EST,VP/WSOL
1918-02-1,PICLORAM,430.0,25.0,EXP,"TOMLIN,C (1994)",7.21e-11,20.0,EXP,"DOBBS, AJ (1982)",5.33e-14,20.0,EST,VP/WSOL
1918-13-4,CHLORTHIAMID,950.0,21.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1e-06,20.0,EXP,"KEARNEY,PC & KAUFMAN,DD (1975A)",2.86e-11,20.0,EST,VP/WSOL
1918-16-7,PROPACHLOR,580.0,25.0,EXP,"TOMLIN,C (2003)",0.00023,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,3.6e-07,25.0,EST,VP/WSOL
1928-38-7,"2,4-D, METHYL ESTER",258.0,25.0,EXP,"PARIS,DF ET AL. (1984)",0.0023,25.0,EXP,"BOSCH,SJ (1983)",2.76e-06,25.0,EST,VP/WSOL
1929-73-3,"2,4-D, BUTOXYETHYL ESTER",12.0,25.0,EXP,"ZEPP,R ET AL. (1974)",4.5e-06,25.0,EXP,"FLINT,GN ET AL. (1968)",1.59e-07,25.0,EST,VP/WSOL
1929-77-7,VERNOLATE,90.0,20.0,EXP,"TOMLIN,C (1997)",0.0104,25.0,EXP,"TOMLIN,C (1997)",3.09e-05,25.0,EST,VP/WSOL
1929-82-4,NITRAPYRIN,72.0,25.0,EXP,"TOMLIN,C (1997)",0.0048,25.0,EXP,"TOMLIN,C (1997)",2.03e-05,25.0,EST,VP/WSOL
1967-16-4,CHLORBUFAM,540.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",1.58e-05,20.0,EXP,"TOMLIN,C (1994)",8.61e-09,20.0,EST,VP/WSOL
1982-47-4,CHLOROXURON,3.7,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3.9e-09,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",4.03e-10,25.0,EST,VP/WSOL
1982-49-6,SIDURON,18.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4e-09,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",6.79e-11,25.0,EST,VP/WSOL
2008-39-1,"2,4-D, DIMETHYLAMINE SALT",750000.0,20.0,EXP,HERBICIDE HANDBOOK (1989),1e-09,25.0,EXP,"BOSCH,SJ (1983)",4.67e-16,25.0,EST,VP/WSOL
2008-41-5,BUTYLATE,45.0,22.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.013,25.0,EXP,"TOMLIN,C (1997)",8.45e-05,25.0,EST,VP/WSOL
2016-57-1,N-DECYLAMINE,550.0,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)",0.1,25.0,EXP,"DREISBACH,RR (1961)",3.76e-05,25.0,EST,VP/WSOL
2032-65-7,METHIOCARB,27.0,20.0,EXP,"TOMLIN,C (1994)",2.7e-07,25.0,EXP,"TOMLIN,C (1997)",1.18e-09,20.0,EXP,"TOMLIN,C (1997)"
2040-96-2,PROPYLCYCLOPENTANE,2.04,25.0,EXP,"SHAW,DG (1989)",12.4,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.898,25.0,EST,VP/WSOL
